한국섬진흥원,한국섬진흥원 2024년 제1차 신규직원 채용 공고,경력15년↑,학력무관,전남 목포시,전남 목포시,정규직,~02.02 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240003769,(11시간전 수정)
오케이엘리베이터(주),"엘리베이터·에스컬레이터, 현장관리 외 신입/경력  채용",신입/경력(연차무관),학력무관,경기 안산시,경기 안산시,정규직,~02.24 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250000968,(8시간전 수정)
키움세무회계컨설팅,키움세무회계 컨설팅 신입사원 모집공고,신입,학력무관,서울 양천구 외,서울 양천구 외,정규직,~02.15 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401160003737,(1일전 수정)
(주)안전하는사람들,[고양시 덕은동]  안전 감시단 모집,경력1년↑,학력무관,경기 고양시,경기 고양시,계약직,상시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230001511,(2일전 등록)
(주)엘에이치사옥관리,"[LH사옥관리] 제 1차 기간제 채용(시설, 경비, 안내, 청소, 급식관리, 취사)",신입/경력(연차무관),학력무관,인천 서구 외,인천 서구 외,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240002321,(1일전 수정)
한국해양조사협회,직원채용 공고[일반직/계약직/체험형 청년인턴],신입/경력(연차무관),학력무관,서울 금천구 외,서울 금천구 외,정규직외,~02.06 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230002807,(2일전 수정)
스튜디오리코(주),[계약직] 한영 번역 검수 (US),신입/경력(연차무관),학력무관,경기 성남시 (재택근무 가능),경기 성남시 (재택근무 가능),계약직,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000182,(1일전 등록)
한국방송공사,진주방송국 퇴직자재고용(수신료업무지원)모집공고,신입/경력(연차무관),학력무관,경남 진주시,경남 진주시,계약직,~01.29 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230000018,(1일전 수정)
쿠팡로지스틱스서비스(유),CLS 전국 지게차 대규모 채용,신입/경력(연차무관),학력무관,서울 강남구 외,서울 강남구 외,계약직,상시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005233,(1일전 수정)
행정안전부,2024년 제1기 행정안전부 청년인턴 채용 공고,신입/경력(연차무관),학력무관,전국,전국,인턴,~01.29 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000819,(1일전 등록)
한전산업개발(주),2024년 상반기 정규직 신입 및 경력사원 공개채용,신입/경력(연차무관),학력무관,경남 사천시 외,경남 사천시 외,정규직,~02.07 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250002679,(8시간전 등록)
충남대학교,2024학년도 1학기 충남대학교 초빙교원 공개채용(3차) 공고,신입/경력(연차무관),학력무관,대전 유성구,대전 유성구,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000310,(1일전 등록)
충남대학교,2024학년도 1학기 충남대학교 겸임교원 공개채용(3차) 공고,경력3년↑,학력무관,대전 유성구,대전 유성구,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000311,(1일전 등록)
충남대학교,2024학년도 1학기 충남대학교 강사 공개채용(3차) 공고,경력1년↑,석사이상,대전 유성구,대전 유성구,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000312,(1일전 등록)
삼성전자서비스(주),2024년 삼성전자서비스 신입 엔지니어 공채(전국),신입,고졸이상,서울 외,서울 외,정규직,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2312070000256,(1일전 수정)
(주)우진케이,[경력자 우대] 현대중공업 사내협력사 전장업체 공정관리 기사 모집,경력(연차무관),고졸,울산 외,울산 외,정규직,~02.29 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230003151,(2일전 등록)
스튜디오리코(주),[프리랜서] 웹툰 제작 - 밑색/명암 및 소재 배치 (로판),신입/경력(연차무관),학력무관,재택근무,재택근무,프리랜서,~02.28 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000122,(1일전 등록)
스튜디오리코(주),[프리랜서] 웹툰 제작 - 후보정 및 식자 (로판),신입/경력(연차무관),학력무관,재택근무,재택근무,프리랜서,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000117,(1일전 수정)
서울시설공단,[서울추모공원] 녹지관리 분야 계약직원,신입/경력(연차무관),학력무관,서울 서초구,서울 서초구,계약직,~02.13 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005408,(12시간전 수정)
주식회사 티머니,2024년 티머니 신입사원 모집,신입,대졸이상,서울 중구,서울 중구,정규직,~02.06 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250000306,(9시간전 수정)
한국부동산원,신입직원 및 경력직원 채용 공고,신입/경력(연차무관),학력무관,전국,전국,정규직,~02.08 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240002826,(1일전 수정)
(주)이도,경북예술고등학교 기숙사 생활지도교사(기숙사 사감) 채용공고,신입/경력(연차무관),대졸이상,경북 외,경북 외,계약직외,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230001247,(2일전 등록)
코레일로지스(주),제1차 직원 채용 공고,신입/경력(연차무관),학력무관,서울 중구 외,서울 중구 외,정규직외,~02.07 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240002383,(1일전 등록)
주식회사 지투테크,스마트 주얼리 웹 기획 마케팅,신입/경력(연차무관),대졸이상,서울 서초구,서울 서초구,정규직외,~02.23 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000892,(1일전 수정)
(주)다이렉트골프,"여행 발권사무, 여행상품개발 외 신입/경력  채용",신입/경력(연차무관),학력무관,대구 남구,대구 남구,정규직,~03.24 (일),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000744,(1일전 수정)
주식회사 동화세상에듀코,전국 재택근무 초중고등 일대일/다대일 화상 및 방문 국어 영어 수학 과학교사채용  비대면면접 자기계발지원,신입/경력(연차무관),대졸이상,경기 외(재택근무 가능),경기 외(재택근무 가능),위촉직,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2212270000094,(11분전 수정)
(주)LG생활건강,[LG생활건강] 신입사원 채용,신입,학력무관,경기 오산시 외,경기 오산시 외,인턴,~02.04 (일),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240003646,(1일전 등록)
경희의료원,계약직 신입직원 [신경과 뇌신경검사실 임상병리사] 공개채용 모집공고,경력(연차무관),초대졸이상,서울 동대문구,서울 동대문구,계약직,~02.01 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250002699,(5시간전 수정)
네트워크구루,[현대차그룹] 인사총무 (사원대리급) 경력 정규직,경력2년↑,대졸,서울 강남구,서울 강남구,정규직,~02.22 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230006566,(2일전 등록)
서울시설공단,[고척스카이돔] 청소 분야 계약직원,신입/경력(연차무관),학력무관,서울 구로구,서울 구로구,계약직,~02.13 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005402,(12시간전 수정)
(주)멀티캠퍼스,인사담당(총무) 경력직 채용 (정규직),경력2년↑,대졸이상,서울 강남구,서울 강남구,정규직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000216,(1일전 등록)
(주)이음과지음,[이음과지음(충북지사)] 디자이너 정규직 채용,경력3년↑,대졸이상,충북 음성군,충북 음성군,정규직,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240001221,(1일전 등록)
국립과천과학관,"과천과학관 공무직 (사무(전시기획,디자인)/과학해설사/조경/미화/시설관리/전시품유지보수/기간제)",신입/경력(연차무관),학력무관,경기 과천시,경기 과천시,정규직외,~01.26 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401190001294,(1일전 수정)
주식회사 오픈서베이,시니어 리서처 (경력 7년 이상),경력7년↑,대졸,서울 서초구,서울 서초구,정규직,~02.16 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230003289,(10시간전 수정)
푸른사회서비스센터,오감 퍼포먼스교사 경력  채용,경력(연차무관),학력무관,대전 대덕구,대전 대덕구,프리랜서,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250001118,(8시간전 수정)
(재)카이텍시설관리단,(재)카이텍시설관리단 2024년 제1차 직원 공개채용,신입/경력(연차무관),학력무관,인천 연수구,인천 연수구,정규직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000102,(1일전 등록)
에스케이바이오사이언스(주),24년 1분기 Medical affairs 경력사원 수시채용,경력3년↑,대졸이상,경기 성남시,경기 성남시,정규직,~02.11 (일),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250002794,(8시간전 등록)
(주)위드웰컴퍼니,[월500이상 / 주5일 / 대출영업 / 최고대우] 대출상담사 모집,신입/경력(연차무관),학력무관,경기 의정부시,경기 의정부시,정규직외,~02.22 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230005604,(2일전 등록)
(주)종근당,종근당 수시채용 [마케팅 사무보조],신입/경력1년↑,고졸이상,서울 서대문구,서울 서대문구,정규직,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240003757,(1일전 등록)
(주)효성,[(주)효성] 전략본부 보안팀 경력사원 채용,경력3년↑,대졸이상,서울 마포구,서울 마포구,정규직,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000235,(1일전 등록)
이베스트투자증권(주),경력직 수시채용(총무/홍보/지점업무/IT 부문),경력(연차무관),대졸이상,서울 영등포구,서울 영등포구,정규직,~02.03 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240003568,(1일전 등록)
행복나래 주식회사,24년도 행복나래 공개채용,신입/경력(연차무관),학력무관,서울 중구 외,서울 중구 외,정규직외,~01.31 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230004157,(1일전 수정)
주식회사 라이프워시퍼 (LIFE WORSHIPER  Inc.),[라이프워시퍼] 광주지점 2024 신입 공개채용,신입/경력(연차무관),학력무관,전북 전주시 덕진구 외,전북 전주시 덕진구 외,위촉직외,~02.24 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250001252,(11시간전 등록)
중소기업기술정보진흥원,중소기업기술정보진흥원 2024년 청년인턴 채용,신입/경력(연차무관),학력무관,세종,세종,인턴,~02.07 (수),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230004180,(1일전 수정)
(주)위런에듀,[재택근무] 영어 단어 콘텐츠 작성,신입/경력(연차무관),학력무관,서울 영등포구,서울 영등포구,프리랜서,~02.08 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250001283,(11시간전 등록)
주식회사 카카오,데이터 분류 및 리서치 업무 지원 어시스턴트,신입/경력(연차무관),학력무관,경기 성남시,경기 성남시,계약직,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000098,(1일전 등록)
의료법인안동병원,"일반사무, 인사관리 신입/경력  채용",신입/경력(연차무관),학력무관,경북 안동시,경북 안동시,계약직,~02.05 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000204,(1일전 수정)
페이머스랩 주식회사,[FamousCorp] KREAM 검수센터 인사조직장 인재채용,경력10년↑,대졸,서울 성동구 외,서울 성동구 외,정규직,~02.25 (일),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401220006074,(1일전 수정)
수원여자대학교,수원여자대학교 직원 채용 공고 [학생상담센터],신입/경력(연차무관),석사이상,경기 수원시,경기 수원시,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000331,(1일전 등록)
(주)KCC,[KCC] 부산/원주/울산 영업소 도료영업 담당 채용,신입/경력(연차무관),초대졸이상,부산 금정구 외,부산 금정구 외,정규직,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000063,(1일전 등록)
(주)이둔,본사정직-(건설안전)현장직원관리 및 채용보조업무 담당 모집중,신입/경력(연차무관),학력무관,서울 송파구 외,서울 송파구 외,정규직외,~02.22 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401090003370,(11시간전 수정)
한국교통안전공단,한국교통안전공단 전북본부 기간제근로자(청년인턴) 채용 공고(2024-2),신입,학력무관,전북 익산시 외,전북 익산시 외,인턴,~02.08 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005350,(13시간전 수정)
(주)굿앤피플컴퍼니,"CJLogistics 신입/경력 배송직원 초보가능 경력,학력,성별 무관 채용공고",신입/경력(연차무관),학력무관,부산 기장군 외,부산 기장군 외,정규직외,~02.24 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250000017,(15시간전 등록)
(주)머스트잇,HR Assistant,신입/경력(연차무관),학력무관,서울 강남구,서울 강남구,계약직,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240001941,(1일전 등록)
토스금융프라자,경남도청 위치 [금융프라자사업단-교육비 100만 지급] 토스 IA 채용,신입/경력(연차무관),학력무관,경남 창원시 성산구 외,경남 창원시 성산구 외,계약직,~02.24 (토),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250000094,(14시간전 등록)
세종시사회서비스원,2024년 제1차 소속시설 통합채용,신입/경력(연차무관),학력무관,세종,세종,정규직외,~02.12 (월),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240005202,(5시간전 수정)
(주)씨티알,CTR Mobility 선행연구 (울산) 경력직 채용,경력5~10년,대졸이상,울산 북구,울산 북구,정규직,~02.23 (금),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250004320,(6시간전 등록)
토스인슈어런스(주),[금융프라자사업단-매월 DB 20개 / 교육비 200만 지급] 토스 IA 모집,신입/경력(연차무관),학력무관,대구 수성구 외,대구 수성구 외,계약직,~02.22 (목),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401230000109,(30분전 수정)
(주)파라다이스세가사미,2024 파라다이스시티 카지노부문 채용 (채용 시 마감),신입/경력1년↑,초대졸이상,인천 중구,인천 중구,정규직외,채용시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2401250001121,(8시간전 수정)
순천향대학교 부천병원,[부천병원] 진료지원팀(치과) 계약직 치과위생사 채용공고,신입/경력(연차무관),초대졸,경기 부천시,경기 부천시,계약직,~01.30 (화),https://job.incruit.com/jobdb_info/jobpost.asp?job=2401240000376,(1일전 등록)
